## net.sf.picard.metrics.StringHeader
# net.sf.picard.sam.MarkDuplicates INPUT=[neuron_2.bam] OUTPUT=neuron_2.rmdup.bam METRICS_FILE=neuron_2.markdup_metrics.txt REMOVE_DUPLICATES=true ASSUME_SORTED=true VALIDATION_STRINGENCY=LENIENT    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 READ_NAME_REGEX=[a-zA-Z0-9]+:[0-9]:([0-9]+):([0-9]+):([0-9]+).* OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false
## net.sf.picard.metrics.StringHeader
# Started on: Sun Jun 16 18:18:21 EDT 2013

## METRICS CLASS	net.sf.picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
	8235211	592004557	18124582	3195189	81975597	12526454	0.140195	2220273608

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	1.018865
2.0	1.799267
3.0	2.397017
4.0	2.854865
5.0	3.205555
6.0	3.474166
7.0	3.679909
8.0	3.837499
9.0	3.958205
10.0	4.05066
11.0	4.121476
12.0	4.175718
13.0	4.217264
14.0	4.249087
15.0	4.273461
16.0	4.292131
17.0	4.306431
18.0	4.317385
19.0	4.325774
20.0	4.3322
21.0	4.337122
22.0	4.340892
23.0	4.34378
24.0	4.345992
25.0	4.347686
26.0	4.348984
27.0	4.349978
28.0	4.350739
29.0	4.351322
30.0	4.351769
31.0	4.352111
32.0	4.352373
33.0	4.352574
34.0	4.352727
35.0	4.352845
36.0	4.352935
37.0	4.353004
38.0	4.353057
39.0	4.353098
40.0	4.353129
41.0	4.353153
42.0	4.353171
43.0	4.353185
44.0	4.353195
45.0	4.353204
46.0	4.35321
47.0	4.353215
48.0	4.353218
49.0	4.353221
50.0	4.353223
51.0	4.353225
52.0	4.353226
53.0	4.353227
54.0	4.353228
55.0	4.353229
56.0	4.353229
57.0	4.353229
58.0	4.35323
59.0	4.35323
60.0	4.35323
61.0	4.35323
62.0	4.35323
63.0	4.35323
64.0	4.35323
65.0	4.35323
66.0	4.35323
67.0	4.35323
68.0	4.35323
69.0	4.35323
70.0	4.35323
71.0	4.35323
72.0	4.35323
73.0	4.35323
74.0	4.35323
75.0	4.35323
76.0	4.35323
77.0	4.35323
78.0	4.35323
79.0	4.35323
80.0	4.35323
81.0	4.35323
82.0	4.35323
83.0	4.35323
84.0	4.35323
85.0	4.35323
86.0	4.35323
87.0	4.35323
88.0	4.35323
89.0	4.35323
90.0	4.35323
91.0	4.35323
92.0	4.35323
93.0	4.35323
94.0	4.35323
95.0	4.35323
96.0	4.35323
97.0	4.35323
98.0	4.35323
99.0	4.35323
100.0	4.35323

