## net.sf.picard.metrics.StringHeader
# net.sf.picard.sam.MarkDuplicates INPUT=[neuron_51.bam] OUTPUT=neuron_51.rmdup.bam METRICS_FILE=neuron_51.markdup_metrics.txt REMOVE_DUPLICATES=true ASSUME_SORTED=true VALIDATION_STRINGENCY=LENIENT    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 READ_NAME_REGEX=[a-zA-Z0-9]+:[0-9]:([0-9]+):([0-9]+):([0-9]+).* OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false
## net.sf.picard.metrics.StringHeader
# Started on: Sun Jun 16 18:18:21 EDT 2013

## METRICS CLASS	net.sf.picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
	8628245	571980411	19846581	3332708	74743629	11887328	0.132588	2304992453

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	1.018701
2.0	1.813537
3.0	2.433703
4.0	2.917583
5.0	3.295128
6.0	3.589706
7.0	3.819548
8.0	3.998881
9.0	4.138804
10.0	4.247979
11.0	4.333162
12.0	4.399625
13.0	4.451483
14.0	4.491944
15.0	4.523514
16.0	4.548146
17.0	4.567366
18.0	4.582361
19.0	4.594061
20.0	4.603191
21.0	4.610313
22.0	4.615871
23.0	4.620207
24.0	4.623591
25.0	4.62623
26.0	4.62829
27.0	4.629897
28.0	4.631151
29.0	4.63213
30.0	4.632893
31.0	4.633489
32.0	4.633953
33.0	4.634316
34.0	4.634599
35.0	4.63482
36.0	4.634992
37.0	4.635126
38.0	4.635231
39.0	4.635313
40.0	4.635377
41.0	4.635426
42.0	4.635465
43.0	4.635496
44.0	4.635519
45.0	4.635538
46.0	4.635552
47.0	4.635563
48.0	4.635572
49.0	4.635579
50.0	4.635584
51.0	4.635588
52.0	4.635592
53.0	4.635594
54.0	4.635596
55.0	4.635598
56.0	4.635599
57.0	4.6356
58.0	4.635601
59.0	4.635601
60.0	4.635602
61.0	4.635602
62.0	4.635602
63.0	4.635603
64.0	4.635603
65.0	4.635603
66.0	4.635603
67.0	4.635603
68.0	4.635603
69.0	4.635603
70.0	4.635603
71.0	4.635603
72.0	4.635603
73.0	4.635603
74.0	4.635603
75.0	4.635603
76.0	4.635603
77.0	4.635603
78.0	4.635603
79.0	4.635603
80.0	4.635603
81.0	4.635603
82.0	4.635603
83.0	4.635603
84.0	4.635603
85.0	4.635603
86.0	4.635603
87.0	4.635603
88.0	4.635603
89.0	4.635603
90.0	4.635603
91.0	4.635603
92.0	4.635603
93.0	4.635603
94.0	4.635603
95.0	4.635603
96.0	4.635603
97.0	4.635603
98.0	4.635603
99.0	4.635603
100.0	4.635603

