## net.sf.picard.metrics.StringHeader
# net.sf.picard.sam.MarkDuplicates INPUT=[neuron_6.bam] OUTPUT=neuron_6.rmdup.bam METRICS_FILE=neuron_6.markdup_metrics.txt REMOVE_DUPLICATES=true ASSUME_SORTED=true VALIDATION_STRINGENCY=LENIENT    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 READ_NAME_REGEX=[a-zA-Z0-9]+:[0-9]:([0-9]+):([0-9]+):([0-9]+).* OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false
## net.sf.picard.metrics.StringHeader
# Started on: Sun Jun 16 18:18:21 EDT 2013

## METRICS CLASS	net.sf.picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
	7747070	530511725	16902492	2740431	59848270	9566093	0.114559	2522018014

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	1.0165
2.0	1.840169
3.0	2.507588
4.0	3.048396
5.0	3.486612
6.0	3.841698
7.0	4.129424
8.0	4.362568
9.0	4.551485
10.0	4.704564
11.0	4.828603
12.0	4.929112
13.0	5.010555
14.0	5.076547
15.0	5.130021
16.0	5.173351
17.0	5.208461
18.0	5.236911
19.0	5.259963
20.0	5.278643
21.0	5.293779
22.0	5.306044
23.0	5.315982
24.0	5.324035
25.0	5.33056
26.0	5.335847
27.0	5.340131
28.0	5.343603
29.0	5.346416
30.0	5.348695
31.0	5.350542
32.0	5.352039
33.0	5.353252
34.0	5.354234
35.0	5.355031
36.0	5.355676
37.0	5.356199
38.0	5.356622
39.0	5.356966
40.0	5.357244
41.0	5.357469
42.0	5.357652
43.0	5.3578
44.0	5.35792
45.0	5.358017
46.0	5.358095
47.0	5.358159
48.0	5.358211
49.0	5.358253
50.0	5.358287
51.0	5.358314
52.0	5.358337
53.0	5.358355
54.0	5.358369
55.0	5.358381
56.0	5.358391
57.0	5.358399
58.0	5.358405
59.0	5.35841
60.0	5.358414
61.0	5.358417
62.0	5.35842
63.0	5.358422
64.0	5.358424
65.0	5.358426
66.0	5.358427
67.0	5.358428
68.0	5.358428
69.0	5.358429
70.0	5.35843
71.0	5.35843
72.0	5.35843
73.0	5.358431
74.0	5.358431
75.0	5.358431
76.0	5.358431
77.0	5.358431
78.0	5.358431
79.0	5.358431
80.0	5.358432
81.0	5.358432
82.0	5.358432
83.0	5.358432
84.0	5.358432
85.0	5.358432
86.0	5.358432
87.0	5.358432
88.0	5.358432
89.0	5.358432
90.0	5.358432
91.0	5.358432
92.0	5.358432
93.0	5.358432
94.0	5.358432
95.0	5.358432
96.0	5.358432
97.0	5.358432
98.0	5.358432
99.0	5.358432
100.0	5.358432

